DATE,품목명,총반입량,전년,평년,서울청과,농협,중앙청과,동화청과,한국청과,대아청과
201808하순,무,5227,5672,5322.666666666667,384,59,21,160,271,4331
201808중순,무,4248,3922,4120.0,316,0,10,126,236,3561
201808상순,무,4361,4176,3807.0,249,0,0,137,314,3661
201807하순,무,4400,4149,4360.666666666667,366,0,2,148,318,3564
201807중순,무,4238,4056,3807.333333333334,352,0,0,100,317,3470
201807상순,무,3813,3573,3879.0,308,11,0,102,261,3132
201806하순,무,4205,4172,3809.0,382,33,3,131,311,3344
201806중순,무,4712,3703,4227.666666666667,414,60,0,148,369,3723
201806상순,무,4417,4401,4477.666666666667,346,0,54,86,334,3596
201805하순,무,5544,4867,4865.0,377,41,41,220,424,4441
201805중순,무,3798,4933,4915.666666666667,268,166,0,148,212,3004
201805상순,무,4358,4591,4340.666666666667,271,206,16,167,412,3288
201804하순,무,3346,4563,4445.666666666667,258,66,62,119,282,2562
201804중순,무,4049,4966,4845.666666666667,331,31,51,140,374,3124
201804상순,무,3512,4420,4694.666666666667,277,28,40,127,317,2725
201803하순,무,4664,5672,5346.333333333333,368,16,28,155,413,3684
201803중순,무,3264,4595,4873.666666666667,298,32,0,128,270,2535
201803상순,무,4361,5879,5082.0,828,36,46,186,288,2982
201802하순,무,3253,3462,3743.666666666666,318,215,8,77,201,2434
201802중순,무,3500,4345,4925.333333333333,261,283,36,155,299,2468
201802상순,무,5903,5059,5101.666666666667,363,191,64,297,388,4600
201801하순,무,3957,3837,5244.333333333333,282,52,48,185,313,3080
201801중순,무,3861,5740,4951.666666666667,349,55,38,146,290,2986
201801상순,무,4192,4544,4480.666666666667,374,59,40,189,293,3233
